lot,lat,axis,uf,value
-43142,-11089,Barra,BA,2026
-41327,-13626,Barra da Estiva,BA,2087
-40579,-14881,Barra do Choça,BA,6394
-42059,-11.81,Barra do Mendes,BA,3747
-39602,-14211,Barra do Rocha,BA,3703
-44.99,-12153,Barreiras,BA,1794
-41912,-11761,Barro Alto,BA,393
-38883,-15863,Belmonte,BA,7989
-41.26,-15038,Belo Campo,BA,416
-38.8,-11617,Biritinga,BA,5743
-40208,-14363,Boa Nova,BA,356
-40609,-12.66,Boa Vista do Tupim,BA,7900
-43418,-13255,Bom Jesus da Lapa,BA,8172
-40504,-14372,Bom Jesus da Serra,BA,5592
-41828,-12702,Boninal,BA,7115
-41267,-11966,Bonito,BA,4072
-42731,-12823,Boquira,BA,7600
-42523,-13382,Botuporã,BA,6174
-39796,-13104,Brejões,BA,7301
-43966,-12483,Brejolândia,BA,4757
-42626,-11999,Brotas de Macaúbas,BA,8240
-41665,-14204,Brumado,BA,8722
-39.3,-14959,Buerarema,BA,1980
-43631,-10708,Buritirama,BA,4437
-40408,-14977,Caatiba,BA,2296
-39191,-12536,Cabaceiras do Paraguaçu,BA,5374
-38956,-12618,Cachoeira,BA,738
-42222,-14503,Caculé,BA,9325
-40435,-11091,Caém,BA,823
-40.91,-14338,Caetanos,BA,9963
-42475,-14069,Caetité,BA,5058
-41468,-11694,Cafarnaum,BA,7241
-39044,-13487,Cairu,BA,7071
-40303,-11.02,Caldeirão Grande,BA,7106
-39496,-15419,Camacan,BA,1619
-38324,-12698,Camaçari,BA,1857
-39104,-13945,Camamu,BA,3039
-43011,-9516,Campo Alegre de Lourdes,BA,7396
-40321,-10509,Campo Formoso,BA,9135
-44202,-13.07,Canápolis,BA,9422
-41769,-11685,Canarana,BA,9342
-38947,-15675,Canavieiras,BA,2560
-39119,-11808,Candeal,BA,3842
-38551,-12668,Candeias,BA,5021
-42867,-14411,Candiba,BA,7818
-41239,-15505,Cândido Sales,BA,7238
-39498,-10671,Cansanção,BA,6692
-39137,-9904,Canudos,BA,9529
-39838,-11668,Capela do Alto Alegre,BA,9748
-40013,-11381,Capim Grosso,BA,6263
-41335,-14.6,Caraíbas,BA,3261
-39266,-17732,Caravelas,BA,4239
-37949,-11942,Cardeal da Silva,BA,242
-43765,-14305,Carinhanha,BA,4329
-40971,-9162,Casa Nova,BA,2362
-39428,-12766,Castro Alves,BA,3511
-44861,-12318,Catolândia,BA,1529
-38379,-12353,Catu,BA,9159
-42291,-13329,Caturama,BA,2570
-42113,-11136,Central,BA,2237
-39094,-8.98,Chorrochó,BA,4088
-38383,-10.6,Cícero Dantas,BA,89
-38517,-11.1,Cipó,BA,2159
-39551,-14641,Coaraci,BA,800
-44534,-14184,Cocos,BA,6148
-38999,-12506,Conceição da Feira,BA,1034
-39164,-12809,Conceição do Almeida,BA,3227
-39283,-11564,Conceição do Coité,BA,7297
-38727,-12423,Conceição do Jacuípe,BA,8514
-37611,-11814,Conde,BA,1346
-41969,-14895,Condeúba,BA,4498
-41041,-13763,Contendas do Sincorá,BA,5750
-38.75,-12233,Coração de Maria,BA,4794
-41935,-15039,Cordeiros,BA,580
-44454,-13829,Coribe,BA,5964
-37926,-10284,Coronel João Sá,BA,1099
-44637,-13343,Correntina,BA,750
-44258,-12028,Cotegipe,BA,7851
-39815,-13359,Cravolândia,BA,6116
-38.15,-11511,Crisópolis,BA,8850
-44421,-12234,Cristópolis,BA,8439
-39102,-12.67,Cruz das Almas,BA,7166
-39908,-8992,Curaçá,BA,1177
-39908,-14436,Dário Meira,BA,6774
-38297,-12613,Dias d'Ávila,BA,4884
-41771,-13.76,Dom Basílio,BA,2462
-39193,-12905,Dom Macedo Costa,BA,3191
-39522,-12946,Elísio Medrado,BA,7429
-40909,-15531,Encruzilhada,BA,6526
-38084,-11942,Entre Rios,BA,6902
-42.14,-13418,Érico Cardoso,BA,9403
-37945,-11796,Esplanada,BA,3939
-39014,-10508,Euclides da Cunha,BA,2101
-39.58,-16378,Eunápolis,BA,9445
-38217,-10.6,Fátima,BA,2428
-44281,-14207,Feira da Mata,BA,5674
-38967,-12267,Feira de Santana,BA,3797
-40133,-10741,Filadélfia,BA,2312
-39924,-14985,Firmino Alves,BA,3049
-39.66,-14.86,Floresta Azul,BA,8375
-45193,-11048,Formosa do Rio Preto,BA,5634
-39487,-13744,Gandu,BA,2976
-39784,-11471,Gavião,BA,2116
-42503,-11429,Gentio do Ouro,BA,89
-38257,-9339,Glória,BA,3811
-39465,-14322,Gongogi,BA,6572
-39471,-14.81,Governador Lomanto Júnior,BA,7226
-39043,-12602,Governador Mangabeira,BA,5956
-41.94,-14547,Guajeru,BA,6099
-42781,-14223,Guanambi,BA,6355
-39783,-16584,Guaratinga,BA,7557
-38286,-10683,Heliópolis,BA,659
-40212,-12767,Iaçu,BA,7405
-42257,-14259,Ibiassucê,BA,5832
-39588,-14865,Ibicaraí,BA,9690
-41285,-13411,Ibicoara,BA,8822
-39987,-14842,Ibicuí,BA,1609
-42011,-11641,Ibipeba,BA,5816
-42486,-12882,Ibipitanga,BA,5444
-40934,-12651,Ibiquera,BA,8525
-39374,-14164,Ibirapitanga,BA,7650
-40109,-17688,Ibirapuã,BA,2305
-39641,-14067,Ibirataia,BA,7026
-42218,-12652,Ibitiara,BA,8037
-41978,-11547,Ibititá,BA,983
-43221,-12185,Ibotirama,BA,1467
-39192,-11749,Ichu,BA,7018
-42714,-13773,Igaporã,BA,6515
-39142,-13826,Igrapiúna,BA,7560
-40089,-14756,Iguaí,BA,8852
-39049,-14789,Ilhéus,BA,5433
-38353,-11784,Inhambupe,BA,3834
-39308,-12.3,Ipecaetá,BA,3953
-39734,-14137,Ipiaú,BA,4177
-39737,-12158,Ipirá,BA,6855
-42614,-11.82,Ipupiara,BA,9354
-40084,-13251,Irajuba,BA,3013
-40951,-13286,Iramaia,BA,7933
-41619,-12249,Iraquara,BA,3561
-38767,-12.05,Irará,BA,8556
-41856,-11304,Irecê,BA,33
-39553,-16575,Itabela,BA,9999
-40307,-12528,Itaberaba,BA,2154
-39.28,-14786,Itabuna,BA,6889
-38997,-14278,Itacaré,BA,2065
-40973,-12986,Itaeté,BA,6614
-40006,-14163,Itagi,BA,9292
-39843,-14284,Itagibá,BA,1814
-39614,-16087,Itagimirim,BA,8969
-42399,-11012,Itaguaçu da Bahia,BA,7851
-39724,-15143,Itaju do Colônia,BA,5995
-39375,-14678,Itajuípe,BA,2217
-39531,-17039,Itamaraju,BA,8495
-39684,-13778,Itamari,BA,2819
-40624,-15245,Itambé,BA,3042
-38042,-12263,Itanagra,BA,3738
-40.33,-17166,Itanhém,BA,4470
-38679,-12888,Itaparica,BA,1748
-39421,-14898,Itapé,BA,9668
-39534,-15951,Itapebi,BA,1307
-40248,-15249,Itapetinga,BA,5405
-38233,-11317,Itapicuru,BA,5261
-39565,-14423,Itapitanga,BA,4467
-39941,-13451,Itaquara,BA,5001
-40066,-15.66,Itarantim,BA,4986
-39698,-12712,Itatim,BA,645
-40.15,-13532,Itiruçu,BA,5096
-39853,-10691,Itiúba,BA,2574
-40.07,-15117,Itororó,BA,5763
-41297,-13813,Ituaçu,BA,6917
-39149,-13732,Ituberá,BA,9793
-43554,-14414,Iuiú,BA,7395
-44433,-13619,Jaborandi,BA,7259
-42433,-14.85,Jacaraci,BA,4086
-40518,-11181,Jacobina,BA,9998
-39971,-13531,Jaguaquara,BA,3664
-40196,-10.26,Jaguarari,BA,6543
-38896,-13113,Jaguaripe,BA,404
-37784,-11564,Jandaíra,BA,6968
-40084,-13858,Jequié,BA,499
-38.35,-10067,Jeremoabo,BA,4843
-39572,-13257,Jiquiriçá,BA,6895
-39889,-14019,Jitaúna,BA,234
-41664,-11.35,João Dourado,BA,5289
-40503,-9414,Juazeiro,BA,7523
-40159,-16843,Jucuruçu,BA,4417
-41969,-11047,Jussara,BA,7792
-39495,-15191,Jussari,BA,1391
-41593,-13517,Jussiape,BA,8457
-40213,-13656,Lafaiete Coutinho,BA,6272
-42142,-14035,Lagoa Real,BA,5081
-39425,-13182,Laje,BA,5865
-40345,-17614,Lajedão,BA,1672
-40906,-12356,Lajedinho,BA,8722
-40224,-13475,Lajedo do Tabocal,BA,4768
-38.9,-11783,Lamarão,BA,3160
-41832,-11383,Lapão,BA,3693
-38327,-12894,Lauro de Freitas,BA,3801
-41.39,-12563,Lençóis,BA,6908
-42508,-14682,Licínio de Almeida,BA,3336
-41841,-13643,Livramento de Nossa Senhora,BA,5645
-40.36,-12136,Macajuba,BA,7719
-40423,-15568,Macarani,BA,3755
-42699,-13019,Macaúbas,BA,2761
-39058,-9168,Macururé,BA,3615
-38621,-12741,Madre de Deus,BA,2836
-41492,-14663,Maetinga,BA,3289
-40266,-15621,Maiquinique,BA,4792
-40149,-11711,Mairi,BA,8762
-43774,-14336,Malhada,BA,2423
-41879,-14388,Malhada de Pedras,BA,2568
-40243,-14145,Manoel Vitorino,BA,5360
-44034,-10716,Mansidão,BA,2982
-40431,-13441,Maracás,BA,3124
-38919,-12778,Maragogipe,BA,615
-39015,-14103,Maraú,BA,2753
-40531,-13003,Marcionílio Souza,BA,4021
-39303,-15563,Mascote,BA,4374
-38299,-12.53,Mata de São João,BA,7379
-42849,-13909,Matina,BA,6407
-40221,-17374,Medeiros Neto,BA,9621
-40595,-11429,Miguel Calmon,BA,2674
-39859,-12.87,Milagres,BA,8180
-40576,-10954,Mirangaba,BA,5234
-40773,-14242,Mirante,BA,4242
-39333,-10438,Monte Santo,BA,5979
-43281,-11559,Morpará,BA,6717
-41156,-11.55,Morro do Chapéu,BA,9146
-42368,-15023,Mortugaba,BA,4819
-41371,-13005,Mucugê,BA,2817
-39551,-18086,Mucuri,BA,5377
-41639,-11966,Mulungu do Morro,BA,2505
-40472,-11859,Mundo Novo,BA,9532
-39.11,-13003,Muniz Ferreira,BA,537
-43549,-12065,Muquém de São Francisco,BA,5098
-38.99,-12626,Muritiba,BA,3680
-39505,-13229,Mutuípe,BA,5347
-39014,-13035,Nazaré,BA,3123
-39107,-13599,Nilo Peçanha,BA,9121
-39428,-10823,Nordestina,BA,5429
-40142,-14794,Nova Canaã,BA,5307
-39631,-11606,Nova Fátima,BA,3039
-39626,-13.81,Nova Ibiá,BA,8032
-40069,-13027,Nova Itarana,BA,3359
-41071,-12819,Nova Redenção,BA,431
-38483,-11233,Nova Soure,BA,7806
-39372,-17892,Nova Viçosa,BA,2694
-42168,-12808,Novo Horizonte,BA,7688
-38406,-10317,Novo Triunfo,BA,8277
-38333,-11367,Olindina,BA,1861
-42896,-12317,Oliveira dos Brejinhos,BA,8712
-38617,-12017,Ouriçangas,BA,330
-41083,-10.97,Ourolândia,BA,3469
-43162,-14267,Palmas de Monte Alto,BA,3108
-41559,-12529,Palmeiras,BA,1371
-42239,-13443,Paramirim,BA,745
-43184,-12691,Paratinga,BA,2965
-37862,-10688,Paripiranga,BA,444
-39651,-15464,Pau Brasil,BA,9837
-38222,-9408,Paulo Afonso,BA,9218
-39613,-11834,Pé de Serra,BA,3395
-38.65,-12.15,Pedrão,BA,4240
-37894,-10014,Pedro Alexandre,BA,6229
-41773,-13152,Piatã,BA,2415
-42504,-10003,Pilão Arcado,BA,7716
-42687,-14493,Pindaí,BA,6845
-40363,-10743,Pindobaçu,BA,9212
-39909,-11813,Pintadas,BA,1295
-39379,-13762,Piraí do Norte,BA,9235
-41.72,-14.94,Piripá,BA,5135
-40555,-11.73,Piritiba,BA,5120
-40369,-13259,Planaltino,BA,6829
-40471,-14.67,Planalto,BA,520
-40365,-14.53,Poções,BA,6477
-38328,-12431,Pojuca,BA,6211
-40134,-10862,Ponto Novo,BA,3521
-39065,-16.45,Porto Seguro,BA,5177
-39877,-15595,Potiraguá,BA,9233
-39221,-17341,Prado,BA,606
-41987,-11296,Presidente Dutra,BA,9183
-41678,-14689,Presidente Jânio Quadros,BA,9406
-39.42,-13449,Presidente Tancredo Neves,BA,1559
-39624,-10978,Queimadas,BA,7632
-39.21,-10753,Quijingue,BA,7595
-40128,-11412,Quixabeira,BA,5937
-39501,-12408,Rafael Jambeiro,BA,9926
-42081,-9622,Remanso,BA,457
-39426,-11495,Retirolândia,BA,4339
-44.91,-11746,Riachão das Neves,BA,4385
-39382,-11.81,Riachão do Jacuípe,BA,8545
-42939,-13609,Riacho de Santana,BA,4695
-38433,-11047,Ribeira do Amparo,BA,4323
-38536,-10834,Ribeira do Pombal,BA,7826
-40739,-15459,Ribeirão do Largo,BA,5837
-41811,-13579,Rio de Contas,BA,5136
-42076,-14411,Rio do Antônio,BA,1343
-42292,-13128,Rio do Pires,BA,3435
-37933,-11485,Rio Real,BA,3482
-38756,-8851,Rodelas,BA,942
-40494,-12284,Ruy Barbosa,BA,3251
-38764,-12871,Salinas da Margarida,BA,3898
-38511,-12971,Salvador,BA,1299
-38975,-11958,Santa Bárbara,BA,9928
-38126,-9736,Santa Brígida,BA,4905
-39025,-16278,Santa Cruz Cabrália,BA,2186
-39812,-14961,Santa Cruz da Vitória,BA,3686
-39819,-13292,Santa Inês,BA,714
-39334,-15429,Santa Luzia,BA,7456
-44198,-13398,Santa Maria da Vitória,BA,8939
-44519,-11009,Santa Rita de Cássia,BA,3506
-39523,-12772,Santa Teresinha,BA,5626
-39375,-11256,Santaluz,BA,2844
-44051,-12983,Santana,BA,9881
-38867,-12017,Santanópolis,BA,9846
-38712,-12547,Santo Amaro,BA,9704
-39261,-12969,Santo Antônio de Jesus,BA,5616
-39251,-12.43,Santo Estêvão,BA,9514
-44973,-12363,São Desidério,BA,3238
-39542,-11503,São Domingos,BA,2275
-39089,-12847,São Felipe,BA,2940
-38972,-12605,São Félix,BA,9289
-44195,-13402,São Félix do Coribe,BA,3467
-38.68,-12628,São Francisco do Conde,BA,7739
-41912,-11229,São Gabriel,BA,2172
-38967,-12433,São Gonçalo dos Campos,BA,7631
-39339,-15084,São José da Vitória,BA,3131
-39867,-11412,São José do Jacuípe,BA,3284
-39456,-13048,São Miguel das Matas,BA,1830
-38495,-12513,São Sebastião do Passé,BA,6704
-39182,-12728,Sapeaçu,BA,4830
-38.6,-11.6,Sátiro Dias,BA,7365
-38769,-12738,Saubara,BA,2926
-40418,-10941,Saúde,BA,4614
-41.77,-12419,Seabra,BA,1387
-42.94,-14573,Sebastião Laranjeiras,BA,6378
-40191,-10463,Senhor do Bonfim,BA,4141
-41885,-9746,Sento Sé,BA,3010
-43598,-13572,Serra do Ramalho,BA,7656
-43.95,-12761,Serra Dourada,BA,2612
-39332,-12.16,Serra Preta,BA,767
-39008,-11664,Serrinha,BA,6018
-40302,-11416,Serrolândia,BA,4157
-38404,-12784,Simões Filho,BA,5506
-43465,-13085,Sítio do Mato,BA,8778
-38217,-10.35,Sítio do Quinto,BA,6925
-40823,-9455,Sobradinho,BA,144
-41638,-12089,Souto Soares,BA,3855
-44007,-12706,Tabocas do Brejo Velho,BA,890
-41248,-14021,Tanhaçu,BA,9612
-42491,-13546,Tanque Novo,BA,1523
-39104,-11979,Tanquinho,BA,6283
-39099,-13538,Taperoá,BA,3375
-40791,-11847,Tapiramutá,BA,7165
-39742,-17535,Teixeira de Freitas,BA,5541
-38628,-12293,Teodoro Sampaio,BA,1047
-38998,-11489,Teofilândia,BA,1178
-39491,-13602,Teolândia,BA,2074
-38625,-12392,Terra Nova,BA,3278
-41411,-14976,Tremedal,BA,5887
-38787,-10963,Tucano,BA,255
-39482,-9842,Uauá,BA,8619
-39663,-13268,Ubaíra,BA,1236
-39323,-14313,Ubaitaba,BA,7548
-39523,-14214,Ubatã,BA,2370
-42133,-11337,Uibaí,BA,6509
-41326,-10733,Umburanas,BA,5595
-39075,-15293,Una,BA,7137
-42655,-14771,Urandi,BA,3797
-39284,-14593,Uruçuca,BA,1307
-41094,-12082,Utinga,BA,7263
-39073,-13.37,Valença,BA,2019
-39462,-11412,Valente,BA,2708
-40137,-11607,Várzea da Roça,BA,1383
-40.32,-11529,Várzea do Poço,BA,4733
-40942,-11259,Várzea Nova,BA,9409
-39394,-12971,Varzedo,BA,7206
-38609,-12.96,Vera Cruz,BA,5005
-40.09,-17223,Vereda,BA,6405
-40839,-14866,Vitória da Conquista,BA,9030
-41168,-12287,Wagner,BA,7175
-43888,-12.12,Wanderley,BA,8959
-39479,-13687,Wenceslau Guimarães,BA,2256
-42731,-10822,Xique-Xique,BA,125
-39046,-7359,Abaiara,CE,6278
-38708,-4224,Acarapé,CE,679
-40.12,-2886,Acaraú,CE,9362
-39453,-6095,Acopiara,CE,5263
-40124,-6574,Aiuaba,CE,5110
-40546,-3589,Alcântaras,CE,9371
-39741,-7002,Altaneira,CE,6041
-38272,-5521,Alto Santo,CE,2344
-39579,-3494,Amontada,CE,4692
-39989,-6775,Antonina do Norte,CE,2523
-39432,-3949,Apuiarés,CE,794
-38391,-3901,Aquiraz,CE,3433
-37.77,-4562,Aracati,CE,9258
-38814,-4371,Aracoiaba,CE,1158
-40833,-4753,Ararendá,CE,8335
-40046,-7213,Araripe,CE,6706
-39045,-4418,Aratuba,CE,4304
-40161,-6324,Arneiroz,CE,5772
-39875,-6874,Assaré,CE,4902
-38968,-6943,Aurora,CE,4292
-38717,-6.73,Baixio,CE,8270
-38921,-5.31,Banabuiú,CE,6912
-39302,-7305,Barbalha,CE,2322
-38643,-4287,Barreira,CE,37
-38782,-7177,Barro,CE,893
-41137,-3019,Barroquinha,CE,9860
-38885,-4329,Baturité,CE,4800
-38131,-4.18,Beberibe,CE,1699
-40168,-3051,Bela Cruz,CE,7401
-39732,-5128,Boa Viagem,CE,2088
-38985,-7493,Brejo Santo,CE,377
-40841,-2902,Camocim,CE,3404
-40376,-7074,Campos Sales,CE,7220
-39312,-4359,Canindé,CE,2382
-38901,-4.47,Capistrano,CE,7664
-39193,-4232,Caridade,CE,1087
-40473,-3951,Cariré,CE,9537
