0,1,output,uf,name
-36.5863888888889,-10.2902777777778,2657,AL,Penedo
-4.05111111111111,-10.4055555555556,5572,AL,Piaçabuçu
-35.9566666666667,-9.59722222222222,7541,AL,Pilar
-36.29,-9.47527777777778,8546,AL,Pindoba
-37.7566666666667,-9.62361111111111,1755,AL,Piranhas
-4205,-9.3125,3026,AL,Poço das Trincheiras
-35.3983333333333,-9045,4824,AL,Porto Calvo
-35295,-9.15833333333333,5534,AL,Porto de Pedras
-36.84,-1.02194444444444,4628,AL,Porto Real do Colégio
-36.4711111111111,-9.31888888888889,8184,AL,Quebrangulo
-35.8533333333333,-9.47833333333333,8281,AL,Rio Largo
-35.9777777777778,-9.83277777777778,5889,AL,Roteiro
-35.8225,-9.60333333333333,974,AL,Santa Luzia do Norte
-37.2452777777778,-9.37833333333333,4995,AL,Santana do Ipanema
-36.2222222222222,-9.16805555555556,5465,AL,Santana do Mundaú
-4095,-10.1277777777778,2827,AL,São Brás
-4.05833333333333,-9.00972222222222,5759,AL,São José da Laje
-37.3811111111111,-9.55833333333333,1980,AL,São José da Tapera
-35.5611111111111,-9.31833333333333,6836,AL,São Luís do Quitunde
-4.09361111111111,-9.78111111111111,4654,AL,São Miguel dos Campos
-35.3730555555556,-9.26555555555556,206,AL,São Miguel dos Milagres
-36.5541666666667,-9.93361111111111,4567,AL,São Sebastião
-35.8244444444444,-9.56333333333333,1777,AL,Satuba
-37.4569444444444,-9.46638888888889,9788,AL,Senador Rui Palmeira
-36.4327777777778,-9.53194444444444,7260,AL,Tanque d'Arca
-36.4972222222222,-9645,8434,AL,Taquarana
-36.3527777777778,-9.90527777777778,317,AL,Teotônio Vilela
-4.17,-9.97055555555556,1647,AL,Traipu
-4.03194444444444,-9.16277777777778,9496,AL,União dos Palmares
-36.2408333333333,-9.37138888888889,2301,AL,Viçosa
-64.8041666666667,-3.22083333333333,8271,AM,Alvarães
-68.1977777777778,-3.36416666666667,2972,AM,Amaturá
-61.4041666666667,-3.57972222222222,8478,AM,Anamã
-61.6441666666667,-3.77277777777778,2510,AM,Anori
-59.8913888888889,-7.19722222222222,6795,AM,Apuí
-70.1919444444444,-4.37222222222222,4631,AM,Atalaia do Norte
-6.63055555555556,-3.57972222222222,1231,AM,Autazes
-62.9241666666667,-0.974722222222222,9596,AM,Barcelos
-6.23666666666667,-2.79333333333333,6947,AM,Barreirinha
-7.03111111111111,-4.38305555555556,8136,AM,Benjamin Constant
-61.3730555555556,-3.89833333333333,8412,AM,Beruri
-57.5902777777778,-2.96972222222222,8305,AM,Boa Vista do Ramos
-67.3977777777778,-1.41611111111111,2487,AM,Boca do Acre
-59.5938888888889,-4.38777777777778,444,AM,Borba
-61.2088888888889,-3.3275,7764,AM,Caapiranga
-64.3830555555556,-1.05611111111111,7303,AM,Canutama
-66.8958333333333,-4.88277777777778,8397,AM,Carauari
-6.04138888888889,-0.584722222222222,3924,AM,Careiro
-59.8119444444444,-0.5225,2523,AM,Careiro da Várzea
-6.64138888888889,-0.0822222222222222,5745,AM,Coari
-6.39027777777778,-3.83666666666667,1130,AM,Codajás
-69.8736111111111,-6.66027777777778,2704,AM,Eirunepé
-7.02333333333333,-1.21666666666667,394,AM,Envira
-7.09166666666667,-2.51388888888889,8356,AM,Fonte Boa
-7.3975,-7.54583333333333,4132,AM,Guajará
-6.52083333333333,-7.50611111111111,439,AM,Humaitá
-71.6947222222222,-0.125555555555556,9211,AM,Ipixuna
-60.1861111111111,-0.5375,5796,AM,Iranduba
-58.4441666666667,-0.643055555555555,5502,AM,Itacoatiara
-68.2533333333333,-6425,2323,AM,Itamarati
-6.35527777777778,-2.74888888888889,7011,AM,Itapiranga
-66.5988888888889,-1.82611111111111,789,AM,Japurá
-1.11333333333333,-3.48111111111111,591,AM,Juruá
-7.08333333333333,-2.74666666666667,3533,AM,Jutaí
-64.7980555555555,-7.25861111111111,1561,AM,Lábrea
-60.6205555555556,-3.29972222222222,8789,AM,Manacapuru
-60.4594444444444,-3.42805555555556,1182,AM,Manaquiri
-6025,-0.0686111111111111,9754,AM,Manaus
-6.20583333333333,-5.80916666666667,5909,AM,Manicoré
-65.5811111111111,-1.85611111111111,5983,AM,Maraã
-6.24361111111111,-0.541944444444444,4749,AM,Maués
-56.7130555555556,-2.18611111111111,7480,AM,Nhamundá
-6.59416666666667,-3.88805555555556,9818,AM,Nova Olinda do Norte
-60.9441666666667,-2.62138888888889,7657,AM,Novo Airão
-60.3797222222222,-5.12055555555556,9151,AM,Novo Aripuanã
-6.08027777777778,-2.62833333333333,4374,AM,Parintins
-66.9763888888889,-7.71361111111111,9191,AM,Pauini
-6025,-2.03444444444444,2773,AM,Presidente Figueiredo
-59.6997222222222,-2.69944444444444,6206,AM,Rio Preto da Eva
-1.08861111111111,-0.413888888888889,5293,AM,Santa Isabel do Rio Negro
-67.9397222222222,-0.518888888888889,5687,AM,Santo Antônio do Içá
-7.25583333333333,-0.130277777777778,9944,AM,São Gabriel da Cachoeira
-68.8725,-3.37833333333333,9563,AM,São Paulo de Olivença
-57.8708333333333,-2.57194444444444,8241,AM,São Sebastião do Uatumã
-58.2091666666667,-2.83888888888889,1540,AM,Silves
-69.9380555555556,-4.2525,7144,AM,Tabatinga
-6.51944444444444,-5.62833333333333,3060,AM,Tapauá
-64.7113888888889,-3.35416666666667,2904,AM,Tefé
-7.25777777777778,-2.87305555555556,5241,AM,Tonantins
-6.94166666666667,-2.99,7666,AM,Uarini
-57.76,-2.53638888888889,5475,AM,Urucará
-6.48833333333333,-3.13083333333333,520,AM,Urucurituba
-50.7930555555556,-2.05333333333333,2138,AP,Amapá
-50.9486111111111,2.4975,8646,AP,Calçoene
-5.09111111111111,0.986111111111111,3622,AP,Cutias
-51.18,0.858333333333333,5756,AP,Ferreira Gomes
-5.08888888888889,0.711666666666667,9117,AP,Itaubal
-0.866666666666667,-1.12,2952,AP,Laranjal do Jari
-5.23305555555556,0.0388888888888889,4986,AP,Macapá
-51.2894444444444,-115,495,AP,Mazagão
-5.25166666666667,3.84305555555556,7914,AP,Oiapoque
-51.9436111111111,0.778055555555556,2280,AP,Pedra Branca do Amapari
-51.4133333333333,0.713333333333333,9217,AP,Porto Grande
-50.7913888888889,1.74333333333333,5998,AP,Pracuúba
-51.1816666666667,-0.0583333333333333,508,AP,Santana
-0.868888888888889,0.895555555555556,4389,AP,Serra do Navio
-50.9119444444444,1.50555555555556,4479,AP,Tartarugalzinho
-52.4080555555556,-0.917222222222222,9352,AP,Vitória do Jari
-41.6636111111111,-13.2497222222222,2649,BA,Abaíra
-4.61388888888889,-8.72027777777778,7185,BA,Abaré
-0.636666666666667,-11.6622222222222,909,BA,Acajutiba
-0.65,-10.5333333333333,8890,BA,Adustina
-4.41666666666667,-11.8666666666667,733,BA,Água Fria
-39.8877777777778,-14.1294444444444,4508,BA,Aiquara
-4.38305555555556,-12.1355555555556,375,BA,Alagoinhas
-39.1955555555556,-17.5194444444444,9702,BA,Alcobaça
-39.6372222222222,-14.7052777777778,2642,BA,Almadina
-39.6047222222222,-13.0302777777778,6701,BA,Amargosa
-38.7566666666667,-12.3916666666667,5146,BA,Amélia Rodrigues
-41.4361111111111,-11.4552777777778,3500,BA,América Dourada
-0.707777777777778,-14.6122222222222,8194,BA,Anagé
-41.3313888888889,-12.8072222222222,4755,BA,Andaraí
-4.58555555555556,-10.3447222222222,2509,BA,Andorinha
-44.6944444444444,-12.0069444444444,9080,BA,Angical
-39.2463888888889,-12.1511111111111,1085,BA,Anguera
-4.36666666666667,-10.4,7127,BA,Antas
-4.61972222222222,-12.4352777777778,1099,BA,Antônio Cardoso
-40.2752777777778,-10.5727777777778,5505,BA,Antônio Gonçalves
-4.41472222222222,-11.6602777777778,660,BA,Aporá
-39.7438888888889,-13.8563888888889,915,BA,Apuarema
-4.35805555555556,-12.2111111111111,4268,BA,Araçás
-41.4619444444444,-14.4275,649,BA,Aracatu
-4.43888888888889,-11.3333333333333,3895,BA,Araci
-38.4991666666667,-12.0816666666667,6167,BA,Aramari
-39.4144444444444,-15.2633333333333,4334,BA,Arataca
-0.651666666666667,-13.0788888888889,1759,BA,Aratuípe
-39.3272222222222,-14.3166666666667,5551,BA,Aurelino Leal
-4.72361111111111,-12.3063888888889,1478,BA,Baianópolis
-4.01805555555556,-11.9597222222222,3020,BA,Baixa Grande
-38.6147222222222,-10.5769444444444,5186,BA,Banzaê
-4.64166666666667,-11.0894444444444,2026,BA,Barra
-41.3269444444444,-13.6261111111111,2087,BA,Barra da Estiva
-40.5794444444444,-14.8811111111111,6394,BA,Barra do Choça
-4.39194444444444,-11.81,3747,BA,Barra do Mendes
-4.56861111111111,-14.2105555555556,3703,BA,Barra do Rocha
-44.99,-12.1527777777778,1794,BA,Barreiras
-41.9116666666667,-11.7608333333333,393,BA,Barro Alto
-39.4713888888889,-14.8097222222222,7989,BA,Barro Preto
-38.8827777777778,-15.8630555555556,416,BA,Belmonte
-41.2597222222222,-15.0383333333333,5743,BA,Belo Campo
-4.42222222222222,-11.6166666666667,356,BA,Biritinga
-40.2075,-14.3625,7900,BA,Boa Nova
-40.6091666666667,-12.6602777777778,8172,BA,Boa Vista do Tupim
-4.54861111111111,-13255,5592,BA,Bom Jesus da Lapa
-40.5052777777778,-14.3736111111111,7115,BA,Bom Jesus da Serra
-41.8275,-12.7016666666667,4072,BA,Boninal
-41.2658333333333,-11.9694444444444,7600,BA,Bonito
-42.7305555555556,-12.8230555555556,6174,BA,Boquira
-42.5225,-13.3816666666667,7301,BA,Botuporã
-39.7958333333333,-13.1044444444444,4757,BA,Brejões
-43.9663888888889,-12.4830555555556,8240,BA,Brejolândia
-42.6258333333333,-11.9988888888889,8722,BA,Brotas de Macaúbas
-41.6652777777778,-14.2036111111111,1980,BA,Brumado
-39.2997222222222,-14.9594444444444,4437,BA,Buerarema
-43.6305555555556,-10.7077777777778,2296,BA,Buritirama
-40.4075,-14.9766666666667,5374,BA,Caatiba
-39.1908333333333,-12.5355555555556,738,BA,Cabaceiras do Paraguaçu
-38.9558333333333,-12.6183333333333,9325,BA,Cachoeira
-42.2222222222222,-14.5033333333333,823,BA,Caculé
-4.05194444444444,-11.0905555555556,9963,BA,Caém
-40.9086111111111,-14.3375,5058,BA,Caetanos
-42475,-14.0694444444444,7241,BA,Caetité
-4.22388888888889,-11.6936111111111,7071,BA,Cafarnaum
-4.54388888888889,-13.4869444444444,7106,BA,Cairu
-40.3027777777778,-11.02,1619,BA,Caldeirão Grande
-39.4958333333333,-15.4191666666667,1857,BA,Camacan
-38.3241666666667,-12.6975,3039,BA,Camaçari
-4.60388888888889,-13.9447222222222,7396,BA,Camamu
-4.51111111111111,-9.51555555555556,9135,BA,Campo Alegre de Lourdes
-40.3213888888889,-10.5075,9422,BA,Campo Formoso
-4.69111111111111,-13.0697222222222,9342,BA,Canápolis
-4.25222222222222,-11.6847222222222,2560,BA,Canarana
-38.9472222222222,-15675,3842,BA,Canavieiras
-0.671944444444444,-11.8080555555556,5021,BA,Candeal
-4.39222222222222,-12.6677777777778,7818,BA,Candeias
-4.42277777777778,-14.4108333333333,7238,BA,Candiba
-41.2391666666667,-15505,6692,BA,Cândido Sales
-39.4991666666667,-10.6672222222222,9529,BA,Cansanção
-4.52638888888889,-9.89666666666667,9748,BA,Canudos
-39.8377777777778,-1.23472222222222,6263,BA,Capela do Alto Alegre
-4.01277777777778,-11.3811111111111,3261,BA,Capim Grosso
-41.2591666666667,-14.7258333333333,4239,BA,Caraíbas
-39.2658333333333,-17.7319444444444,242,BA,Caravelas
-37.9486111111111,-11.9416666666667,4329,BA,Cardeal da Silva
-43765,-14.3047222222222,2362,BA,Carinhanha
-40.9708333333333,-9.16194444444444,3511,BA,Casa Nova
-39.4283333333333,-12.7655555555556,1529,BA,Castro Alves
-44.8611111111111,-12.3180555555556,9159,BA,Catolândia
-38.3788888888889,-12.3530555555556,2570,BA,Catu
-42.2905555555556,-13.3294444444444,2237,BA,Caturama
-4.44611111111111,-11.1355555555556,4088,BA,Central
-4.59638888888889,-8.97972222222222,89,BA,Chorrochó
-4375,-10.6,2159,BA,Cícero Dantas
-38.5136111111111,-11.0997222222222,800,BA,Cipó
-4.55944444444444,-14.6408333333333,6148,BA,Coaraci
-4.72333333333333,-14.1838888888889,1034,BA,Cocos
-38.9986111111111,-12.5058333333333,3227,BA,Conceição da Feira
-39.17,-12.7794444444444,7297,BA,Conceição do Almeida
-39.2827777777778,-11.5638888888889,8514,BA,Conceição do Coité
-4.41666666666667,-1375,1346,BA,Conceição do Jacuípe
-37.6105555555556,-11.8136111111111,4498,BA,Conde
-4.27416666666667,-14.8952777777778,5750,BA,Condeúba
-4.20777777777778,-13.7627777777778,4794,BA,Contendas do Sincorá
-4.41388888888889,-1.36111111111111,580,BA,Coração de Maria
-4.26805555555556,-15.0386111111111,5964,BA,Cordeiros
-44.4544444444444,-13.8291666666667,1099,BA,Coribe
-37.9263888888889,-1.03694444444444,750,BA,Coronel João Sá
-44.6366666666667,-13.3433333333333,7851,BA,Correntina
-44.2577777777778,-12.0283333333333,6116,BA,Cotegipe
-39815,-13.3586111111111,8850,BA,Cravolândia
-0.658333333333333,-11.5105555555556,8439,BA,Crisópolis
-44.4208333333333,-12.2336111111111,7166,BA,Cristópolis
-0.668611111111111,-12.67,1177,BA,Cruz das Almas
-39.9094444444444,-8.99027777777778,6774,BA,Curaçá
-39.9077777777778,-14.4363888888889,4884,BA,Dário Meira
-38.2969444444444,-12.6125,2462,BA,Dias d'Ávila
-41.7713888888889,-13.7602777777778,3191,BA,Dom Basílio
-39.1925,-12905,7429,BA,Dom Macedo Costa
-39.5216666666667,-12.9463888888889,6526,BA,Elísio Medrado
-40.9094444444444,-15.5313888888889,6902,BA,Encruzilhada
-0.648333333333333,-11.9419444444444,9403,BA,Entre Rios
-4.47361111111111,-13.4177777777778,3939,BA,Érico Cardoso
-37945,-11.7961111111111,2101,BA,Esplanada
-4.51583333333333,-10.5075,9445,BA,Euclides da Cunha
-39.5802777777778,-16.3775,2428,BA,Eunápolis
-4.35833333333333,-10.6,5674,BA,Fátima
-44.2811111111111,-14.2127777777778,3797,BA,Feira da Mata
-4.43888888888889,-12.2666666666667,2312,BA,Feira de Santana
-4.13194444444444,-10.7427777777778,3049,BA,Filadélfia
-39.9236111111111,-14.9852777777778,8375,BA,Firmino Alves
-39.6597222222222,-14.86,5634,BA,Floresta Azul
-45.1930555555556,-1215,2976,BA,Formosa do Rio Preto
-39.4866666666667,-13.7438888888889,2116,BA,Gandu
-4.58666666666667,-11.4705555555556,89,BA,Gavião
-42.5027777777778,-11.4288888888889,3811,BA,Gentio do Ouro
-38.2547222222222,-9.33805555555556,6572,BA,Glória
-39.4647222222222,-14.3222222222222,7226,BA,Gongogi
-4.54333333333333,-1.40194444444444,5956,BA,Governador Mangabeira
-41.9402777777778,-14.5472222222222,6099,BA,Guajeru
-42.7813888888889,-14.2233333333333,6355,BA,Guanambi
-39.7827777777778,-16.5838888888889,7557,BA,Guaratinga
-38.2861111111111,-10.6833333333333,659,BA,Heliópolis
-40.2116666666667,-12.7672222222222,7405,BA,Iaçu
-42.2569444444444,-14.2594444444444,5832,BA,Ibiassucê
-39.5875,-14865,9690,BA,Ibicaraí
-4.20416666666667,-13.4105555555556,8822,BA,Ibicoara
-39.9866666666667,-14.8416666666667,1609,BA,Ibicuí
-4.34444444444444,-11.6408333333333,5816,BA,Ibipeba
-4.39416666666667,-12.8822222222222,5444,BA,Ibipitanga
-4.10027777777778,-12.6511111111111,8525,BA,Ibiquera
-39.3736111111111,-14.1641666666667,7650,BA,Ibirapitanga
-4.10916666666667,-17.6877777777778,2305,BA,Ibirapuã
-39.6405555555556,-14.0669444444444,7026,BA,Ibirataia
-4.35944444444444,-12.6522222222222,8037,BA,Ibitiara
-41.9775,-11.5472222222222,983,BA,Ibititá
-43.2205555555556,-12.1852777777778,1467,BA,Ibotirama
-39.1922222222222,-11.7486111111111,7018,BA,Ichu
-42.7141666666667,-13.7733333333333,6515,BA,Igaporã
-4.64222222222222,-13.8263888888889,7560,BA,Igrapiúna
-4.08916666666667,-14.7563888888889,8852,BA,Iguaí
-4.54944444444445,-14.7888888888889,5433,BA,Ilhéus
-38.3530555555556,-11.7844444444444,3834,BA,Inhambupe
-39.3075,-12.3,3953,BA,Ipecaetá
-4.57833333333333,-14.1372222222222,4177,BA,Ipiaú
-39.7372222222222,-12.1583333333333,6855,BA,Ipirá
-42.6141666666667,-11.8202777777778,9354,BA,Ipupiara
-0.681666666666667,-13.2513888888889,3013,BA,Irajuba
-4.10388888888889,-13.2855555555556,7933,BA,Iramaia
-41.6194444444444,-12.2486111111111,3561,BA,Iraquara
-4.41666666666667,-12.05,8556,BA,Irará
-41.8558333333333,-11.3041666666667,33,BA,Irecê
-39.5533333333333,-16575,9999,BA,Itabela
-40.3069444444444,-12.5275,2154,BA,Itaberaba
-39.2802777777778,-14.7855555555556,6889,BA,Itabuna
-38.9966666666667,-14.2775,2065,BA,Itacaré
-40.9725,-12.9863888888889,6614,BA,Itaeté
-4.00611111111111,-14.1627777777778,9292,BA,Itagi
-39.8427777777778,-14.2836111111111,1814,BA,Itagibá
-39.6144444444444,-16.0866666666667,8969,BA,Itagimirim
-42.3994444444444,-11.0116666666667,7851,BA,Itaguaçu da Bahia
-39.7244444444444,-1.97583333333333,5995,BA,Itaju do Colônia
-39375,-14.6780555555556,2217,BA,Itajuípe
-39.5311111111111,-17.0391666666667,8495,BA,Itamaraju
-4.56972222222222,-13.7780555555556,2819,BA,Itamari
-40.6244444444444,-15245,3042,BA,Itambé
-4375,-12.2630555555556,3738,BA,Itanagra
-40.33,-17.1663888888889,4470,BA,Itanhém
-38.6786111111111,-12.8883333333333,1748,BA,Itaparica
-39.4211111111111,-14.8983333333333,9668,BA,Itapé
-4.55611111111111,-15.9508333333333,1307,BA,Itapebi
-40.2477777777778,-15.2488888888889,5405,BA,Itapetinga
-4.36111111111111,-11.3166666666667,5261,BA,Itapicuru
-39565,-14.4227777777778,4467,BA,Itapitanga
-39.9411111111111,-13.4508333333333,5001,BA,Itaquara
-4.06555555555556,-15.6597222222222,4986,BA,Itarantim
-39.6980555555556,-12.7119444444444,645,BA,Itatim
-0.691944444444444,-13.5316666666667,5096,BA,Itiruçu
-39.8536111111111,-10.6916666666667,2574,BA,Itiúba
-4.07027777777778,-15.1169444444444,5763,BA,Itororó
-41.2966666666667,-13.8133333333333,6917,BA,Ituaçu
-4.64916666666667,-13.7322222222222,9793,BA,Ituberá
-43.5544444444444,-14.4138888888889,7395,BA,Iuiú
-44.4327777777778,-13.6194444444444,7259,BA,Jaborandi
-4.38333333333333,-14.8497222222222,4086,BA,Jacaraci
-4.05444444444444,-11.1805555555556,9998,BA,Jacobina
-39.9708333333333,-13.5305555555556,3664,BA,Jaguaquara
-40.1958333333333,-10.2638888888889,6543,BA,Jaguarari
-38.8955555555556,-13.1133333333333,404,BA,Jaguaripe
-4.25388888888889,-11.5641666666667,6968,BA,Jandaíra
-0.680833333333333,-13.8575,499,BA,Jequié
-38.4808333333333,-10075,4843,BA,Jeremoabo
-39.5722222222222,-13.2566666666667,6895,BA,Jiquiriça
-39.8888888888889,-14.0188888888889,234,BA,Jitaúna
-41.6644444444444,-11.3497222222222,5289,BA,João Dourado
-40.4986111111111,-9.41166666666667,7523,BA,Juazeiro
-4.15888888888889,-16.8427777777778,4417,BA,Jucuruçu
-41.9694444444444,-11.0469444444444,7792,BA,Jussara
-39.4952777777778,-15.1913888888889,1391,BA,Jussari
-41.5925,-13.5166666666667,8457,BA,Jussiape
-40.2125,-13.6558333333333,6272,BA,Lafaiete Coutinho
-4.47555555555556,-14.0347222222222,5081,BA,Lagoa Real
-39425,-13.1822222222222,5865,BA,Laje
-40.3447222222222,-17.6136111111111,1672,BA,Lajedão
-40.9055555555556,-12.3558333333333,8722,BA,Lajedinho
-40.2230555555556,-13475,4768,BA,Lajedo do Tabocal
-4.42777777777778,-11.7833333333333,3160,BA,Lamarão
-41.8319444444444,-11.3833333333333,3693,BA,Lapão
-38.3272222222222,-12.8944444444444,3801,BA,Lauro de Freitas
-41.39,-12.5630555555556,6908,BA,Lençóis
-42.5075,-14.6822222222222,3336,BA,Licínio de Almeida
-41.8405555555556,-13.6430555555556,5645,BA,Livramento do Brumado
-40.36,-12.1361111111111,7719,BA,Macajuba
-40.4230555555556,-15.5683333333333,3755,BA,Macarani
-42.6986111111111,-13.0194444444444,2761,BA,Macaúbas
-4.5575,-9.1675,3615,BA,Macururé
-38.6208333333333,-12.7408333333333,2836,BA,Madre de Deus
-41.4916666666667,-14.6633333333333,3289,BA,Maetinga
-40.2661111111111,-15.6211111111111,4792,BA,Maiquinique
-4.14888888888889,-11.7113888888889,8762,BA,Mairi
-43.7736111111111,-14.3361111111111,2423,BA,Malhada
-41.8791666666667,-14.3880555555556,2568,BA,Malhada de Pedras
-40.2425,-1.81194444444444,5360,BA,Manoel Vitorino
-0.74,-10.7163888888889,2982,BA,Mansidão
-40.4308333333333,-13.4411111111111,3124,BA,Maracás
-38.9194444444444,-12.7777777777778,615,BA,Maragogipe
-4.51472222222222,-14.1030555555556,2753,BA,Maraú
-40.5305555555556,-13.0030555555556,4021,BA,Marcionílio Souza
-4.54138888888889,-15.5630555555556,4374,BA,Mascote
-38.2991666666667,-12.5302777777778,7379,BA,Mata de São João
-42.8494444444444,-13.9094444444444,6407,BA,Matina
-40.2205555555556,-17.3738888888889,9621,BA,Medeiros Neto
-40595,-11.4288888888889,2674,BA,Miguel Calmon
-39.8588888888889,-12.87,8180,BA,Milagres
-40.5758333333333,-10.9544444444444,5234,BA,Mirangaba
-40.7783333333333,-14.2419444444444,4242,BA,Mirante
-39.3327777777778,-10.4377777777778,5979,BA,Monte Santo
-43.2808333333333,-11.5586111111111,6717,BA,Morpará
-4.32277777777778,-11.55,9146,BA,Morro do Chapéu
-4.37361111111111,-15.0233333333333,4819,BA,Mortugaba
-41.3708333333333,-13.0052777777778,2817,BA,Mucugê
